,sido-gu,온도,습도
0,강릉,19.6,27
1,강진군,18.3,48
2,강화,15.4,44
3,거제,16.9,40
4,거창,19.7,25
5,경주시,20.5,15
6,고산,14.9,64
7,고창,17.0,26
8,고창군,18.0,27
9,고흥,16.7,45
10,광양시,19.1,38
11,광주,19.7,22
12,구미,20.2,25
13,군산,15.2,43
14,금산,18.5,29
15,김해시,15.6,44
16,남원,19.5,25
17,남해,17.5,39
18,대관령,15.0,23
19,대구,20.0,22
20,대전,19.9,21
21,동두천,21.2,20
22,동해,13.9,56
23,목포,15.0,46
24,문경,18.8,26
25,밀양,20.0,15
26,백령도,13.3,48
27,보령,16.3,38
28,보성군,18.7,51
29,보은,18.4,25
30,봉화,17.1,30
31,부산,15.6,48
32,부안,15.6,45
33,부여,19.4,34
34,북강릉,17.8,26
35,북창원,19.6,31
36,북춘천,19.9,19
37,산청,20.1,26
38,상주,20.1,25
39,서귀포,16.6,63
40,서산,17.1,20
41,서울,20.0,26
42,성산,16.0,59
43,세종,18.6,25
44,속초,15.1,49
45,수원,17.7,20
46,순창군,19.2,29
47,순천,19.7,22
48,안동,18.8,29
49,양산시,18.8,40
50,양평,19.1,22
51,여수,15.6,43
52,영광군,15.8,42
53,영덕,14.5,49
54,영월,18.4,19
55,영주,17.9,27
56,영천,18.8,21
57,완도,17.8,47
58,울릉도,14.5,53
59,울산,15.8,36
60,울진,14.1,53
61,원주,18.4,25
62,의령군,20.1,19
63,의성,19.5,27
64,이천,19.8,28
65,인제,18.8,24
66,인천,15.5,33
67,임실,18.5,25
68,장수,17.1,32
69,장흥,17.9,48
70,전주,17.8,35
71,정선군,18.7,17
72,정읍,16.6,35
73,제주,17.0,53
74,제천,17.9,24
75,진도군,15.6,54
76,진주,19.9,28
77,창원,15.4,42
78,천안,18.0,20
79,철원,18.9,20
80,청송군,18.6,30
81,청주,18.8,18
82,추풍령,17.7,23
83,춘천,20.6,19
84,충주,18.5,30
85,태백,15.3,28
86,통영,15.8,48
87,파주,18.8,25
88,포항,15.9,44
89,함양군,21.0,25
90,합천,20.4,22
91,해남,18.4,36
92,홍성,17.7,21
93,홍천,18.9,23
94,흑산도,12.4,67
